epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1655.07,1.04959,0.96525,1.41923,0.8779,0.83929,0.90705,0.60685,1.17128,0.81877,1.62253,0.0011882,0.0011882,0.0011882
43,1694.13,1.06715,0.99733,1.44325,0.86514,0.79643,0.89762,0.60582,1.16616,0.84981,1.62201,0.0011684,0.0011684,0.0011684
44,1738.94,1.06549,0.99357,1.42901,0.89304,0.77533,0.90253,0.61303,1.15476,0.84296,1.63995,0.0011486,0.0011486,0.0011486
45,1777.38,1.0275,0.96567,1.40259,0.854,0.77857,0.88941,0.60019,1.17905,0.83586,1.65217,0.0011288,0.0011288,0.0011288
46,1821.29,1.00614,0.9217,1.39278,0.84525,0.77857,0.88788,0.60712,1.14609,0.86476,1.6397,0.001109,0.001109,0.001109
47,1863.07,1.03344,0.96954,1.39803,0.85903,0.81429,0.89859,0.61272,1.12519,0.81282,1.59813,0.0010892,0.0010892,0.0010892
48,1910.64,0.99325,0.92902,1.38882,0.83494,0.86717,0.915,0.62125,1.1063,0.8252,1.57576,0.0010694,0.0010694,0.0010694
49,1955.08,1.00455,0.89503,1.3983,0.84742,0.84643,0.90957,0.63946,1.11345,0.81421,1.56491,0.0010496,0.0010496,0.0010496
50,1994.26,0.98294,0.91733,1.37913,0.85974,0.83188,0.89814,0.61888,1.14435,0.82087,1.63442,0.0010298,0.0010298,0.0010298
51,2033.06,0.97197,0.9294,1.38029,0.857,0.83476,0.88955,0.6349,1.10772,0.79714,1.56233,0.00101,0.00101,0.00101
52,2071.77,0.97315,0.86935,1.3608,0.88469,0.84943,0.91392,0.63233,1.10202,0.7532,1.57394,0.0009902,0.0009902,0.0009902
53,2119.81,0.97514,0.86183,1.36612,0.86626,0.83214,0.92075,0.64852,1.0784,0.76207,1.57129,0.0009704,0.0009704,0.0009704
54,2164.07,0.95349,0.85955,1.37207,0.8141,0.78214,0.87899,0.62257,1.11284,0.79663,1.58972,0.0009506,0.0009506,0.0009506
55,2202.12,0.97517,0.87049,1.3787,0.84294,0.84339,0.90224,0.6303,1.07928,0.78818,1.54692,0.0009308,0.0009308,0.0009308
56,2249.34,0.95234,0.85415,1.3628,0.84042,0.8652,0.90728,0.6483,1.09702,0.75223,1.58916,0.000911,0.000911,0.000911
57,2302.35,0.93895,0.84976,1.35361,0.80865,0.8754,0.90478,0.64243,1.07278,0.74339,1.53727,0.0008912,0.0008912,0.0008912
58,2340.08,0.94091,0.81836,1.35628,0.8415,0.85714,0.91076,0.63209,1.11257,0.75467,1.60913,0.0008714,0.0008714,0.0008714
59,2376.9,0.91575,0.8311,1.33604,0.84033,0.87857,0.92486,0.651,1.09923,0.70891,1.58542,0.0008516,0.0008516,0.0008516
60,2415.01,0.9153,0.81145,1.31106,0.86356,0.86429,0.93294,0.63899,1.1084,0.71349,1.60601,0.0008318,0.0008318,0.0008318
61,2452.71,0.91003,0.81758,1.32344,0.85835,0.86429,0.92777,0.6666,1.05644,0.7034,1.55169,0.000812,0.000812,0.000812
62,2490.43,0.91093,0.83111,1.32738,0.88292,0.825,0.92118,0.66836,1.0341,0.73557,1.52477,0.0007922,0.0007922,0.0007922
63,2536.41,0.91095,0.79732,1.32874,0.8522,0.86786,0.91929,0.65518,1.06504,0.72656,1.55392,0.0007724,0.0007724,0.0007724
64,2573.13,0.90019,0.78405,1.32236,0.9004,0.86786,0.93889,0.6738,1.03604,0.68162,1.51784,0.0007526,0.0007526,0.0007526
65,2610.9,0.89481,0.78708,1.32147,0.88722,0.84288,0.9166,0.66497,1.02732,0.71581,1.50247,0.0007328,0.0007328,0.0007328
66,2648.3,0.91856,0.76695,1.32282,0.85046,0.81244,0.90092,0.62665,1.10212,0.75919,1.57218,0.000713,0.000713,0.000713
67,2686.09,0.86774,0.76138,1.29185,0.88131,0.84863,0.92413,0.67421,1.06695,0.70298,1.54827,0.0006932,0.0006932,0.0006932
68,2725.57,0.87509,0.76062,1.29939,0.90188,0.82071,0.92094,0.65912,1.08043,0.73116,1.55212,0.0006734,0.0006734,0.0006734
69,2763.7,0.86438,0.74054,1.2784,0.89349,0.83887,0.91695,0.65018,1.12993,0.72358,1.65385,0.0006536,0.0006536,0.0006536
70,2801.46,0.85986,0.73186,1.27733,0.82356,0.90714,0.9253,0.67209,1.08103,0.68563,1.54818,0.0006338,0.0006338,0.0006338
71,2839.41,0.86318,0.72852,1.28921,0.90289,0.86334,0.93718,0.68249,1.05201,0.65989,1.53804,0.000614,0.000614,0.000614
72,2877.24,0.85704,0.73945,1.27617,0.89429,0.875,0.92641,0.67421,1.01718,0.67967,1.49828,0.0005942,0.0005942,0.0005942
73,2914.16,0.84879,0.74312,1.27892,0.84262,0.89871,0.92418,0.6839,1.01486,0.6713,1.49901,0.0005744,0.0005744,0.0005744
74,2951.47,0.84567,0.72959,1.27534,0.90228,0.84286,0.92927,0.67908,1.03656,0.69025,1.52345,0.0005546,0.0005546,0.0005546
75,2988.82,0.8362,0.72429,1.27418,0.82074,0.92143,0.93011,0.67919,1.02806,0.69629,1.5147,0.0005348,0.0005348,0.0005348
76,3026.38,0.84161,0.73598,1.27531,0.88771,0.90353,0.9378,0.6909,1.00016,0.63242,1.50687,0.000515,0.000515,0.000515
